filename,rmse,function
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run10_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,34.97,rmse_sig
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,44.47,rmse_lin
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,40.48,rmse_log
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,40.01,rmse_exp
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,24.23,rmse_sig
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,34.99,rmse_lin
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,27.76,rmse_log
Ples_203_run11_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,27.47,rmse_exp
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run12_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run13_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,86.01,rmse_sig
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,89.05,rmse_lin
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,90.64,rmse_exp
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_sig
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_lin
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run14_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_exp
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_sig
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_lin
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_log
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,nan,rmse_exp
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,36.17,rmse_sig
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,39.38,rmse_lin
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,nan,rmse_log
Ples_203_run15_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_980000,43.77,rmse_exp
Ples_203_run20_up_rubber_2018-03-22_000000DLC_resnet50_waterdragonsDec12shuffle1_1030000,262.51,rmse_sig
