,direction_of_running,stepphase_L1,stepphase_L2,stepphase_L3,stepphase_L4,stepphase_R1,stepphase_R2,stepphase_R3,stepphase_R4,ext-flex-dist_L1,ext-flex-dist_L2,ext-flex-dist_L3,ext-flex-dist_L4,ext-flex-dist_R1,ext-flex-dist_R2,ext-flex-dist_R3,ext-flex-dist_R4,ext-flex-phase_L1,ext-flex-phase_L2,ext-flex-phase_L3,ext-flex-phase_L4,ext-flex-phase_R1,ext-flex-phase_R2,ext-flex-phase_R3,ext-flex-phase_R4,body_speed_MMperS
21,RIGHT,b'swing0001',b'swing0002',b'stance0001',b'stance0001',b'swing0003',b'stance0003',b'swing0003',b'stance0002',2.754318983368674,5.394148117889164,5.144169737029261,9.439281659301768,7.985973077784419,7.517595743322198,6.508381572320377,6.521882101306517,flex,,,flex,ext,,flex,ext,0.00871082473570884
22,RIGHT,b'swing0001',b'swing0002',b'stance0001',b'swing0002',b'swing0003',b'swing0003',b'swing0003',b'stance0002',3.448228424904677,1.9927339070023036,5.332790946544058,8.432062808449205,6.82333601309605,3.816921202201831,6.536810834094957,6.046698609385474,ext,flex,ext,flex,flex,flex,ext,flex,0.008981347703632148
23,RIGHT,b'swing0001',b'swing0002',b'stance0001',b'swing0002',b'swing0003',b'swing0003',b'swing0003',b'stance0002',2.8706724351524544,3.2592969099609066,6.003234520511165,8.1154894286115,7.250564382386972,3.863212305452776,6.176586078162833,6.44098462417234,flex,ext,ext,flex,ext,ext,flex,ext,0.004948756856772077
24,RIGHT,b'stance0002',b'swing0002',b'stance0001',b'swing0002',b'stance0004',b'swing0003',b'swing0003',b'stance0002',3.366134646949013,4.782550945807254,6.569858081439731,10.340989464492244,7.039102525581249,5.5382120211045605,5.863739093110361,7.111128936301152,ext,ext,ext,ext,flex,ext,flex,ext,0.007963844300750285
25,RIGHT,b'swing0002',b'swing0002',b'stance0001',b'swing0002',b'stance0004',b'swing0003',b'swing0003',b'stance0002',3.288814025184745,5.399253738361822,6.121727754777232,9.911515729383408,6.218589653071165,4.093163830510441,5.1527088199237605,5.597777135813785,flex,ext,flex,flex,flex,flex,flex,flex,0.009594338947370109
26,RIGHT,b'swing0002',b'swing0002',b'stance0001',b'swing0002',b'stance0004',b'swing0003',b'swing0003',b'stance0002',3.19098015363544,5.0192168168055815,6.01400657606077,10.313134007936554,6.632656066650048,5.88706918247145,4.450904533200046,6.635296033685129,flex,flex,flex,ext,ext,ext,flex,ext,0.005917917733617391
27,RIGHT,b'swing0002',b'stance0002',b'stance0001',b'swing0002',b'stance0004',b'swing0003',b'swing0003',b'stance0002',4.021038378232348,4.090053184235403,7.2998004505639305,9.381454410388377,6.717834455464318,5.52508804104747,5.396954247301572,6.755945286310102,ext,flex,ext,flex,ext,flex,ext,ext,0.0062302582311131284
28,RIGHT,b'swing0002',b'swing0003',b'swing0001',b'swing0002',b'swing0004',b'stance0004',b'swing0003',b'stance0002',3.7792649735182433,2.7817115973600783,6.352416801266176,7.32159440074116,6.566874128927375,5.682312624351862,5.711301123729808,7.432198464094283,flex,flex,flex,flex,flex,ext,ext,ext,0.007637457677615336
29,RIGHT,b'swing0002',b'swing0003',b'swing0001',b'stance0002',b'stance0005',b'swing0004',b'stance0004',b'stance0002',3.511475290115352,2.8035288698918728,5.99958377608582,6.367625798297919,5.141316283584051,6.194453906039026,5.976767742763878,7.17169000246575,flex,ext,flex,flex,flex,ext,ext,flex,0.00820873960327826
30,RIGHT,b'swing0002',b'swing0003',b'swing0001',b'stance0002',b'stance0005',b'swing0004',b'stance0004',b'swing0003',2.8364512502157506,3.5498235578938337,5.984370814113644,5.144407171443664,5.254962958082268,6.09345075739181,5.3681117183841,7.927166180107544,flex,ext,flex,flex,ext,flex,flex,ext,0.008361749806599096
31,RIGHT,b'swing0002',b'swing0003',b'swing0001',b'stance0002',b'stance0005',b'swing0004',b'stance0004',b'swing0003',3.9157590556568884,2.7499287430974326,7.423731571561211,4.970568565545857,5.13354172326992,4.998752664335382,5.472852427349844,6.944798319693425,ext,flex,ext,flex,flex,flex,ext,flex,0.007717240779051783
32,RIGHT,b'swing0002',b'swing0003',b'swing0001',b'stance0002',b'stance0005',b'swing0004',b'stance0004',b'swing0003',5.059276083014923,2.6363197778287994,7.24779735246078,6.139962717606018,4.991198925858969,5.387029999171799,5.248617889300449,6.414785339613604,ext,flex,flex,ext,flex,ext,flex,flex,0.0059258465783649916
33,RIGHT,b'swing0002',b'stance0003',b'swing0001',b'stance0002',b'stance0005',b'swing0004',b'stance0004',b'swing0003',5.92121959059673,2.767899992165236,6.300539723975013,8.856804942622993,5.12027672140116,6.539971529727297,5.751848501474015,6.9725077435201905,ext,ext,flex,ext,ext,ext,ext,ext,0.008295075202003165
34,RIGHT,b'stance0003',b'stance0003',b'stance0002',b'stance0002',b'stance0005',b'swing0004',b'stance0004',b'swing0003',6.224159688177251,2.359872815706112,6.567558260575216,10.544229397562166,4.584942613438481,7.766224862969486,6.081925028593059,5.958906596999025,ext,flex,ext,ext,flex,ext,ext,flex,0.007138229693518737
35,RIGHT,b'stance0003',b'swing0004',b'stance0002',b'swing0003',b'stance0005',b'swing0004',b'stance0004',b'swing0003',5.007837879712113,4.344361771420162,6.216960179301033,11.26251189138376,4.323878448136735,6.508531146576762,6.5196020807690775,5.855635682603248,flex,ext,flex,ext,flex,flex,ext,flex,0.008349738220752783
36,RIGHT,b'stance0003',b'swing0004',b'stance0002',b'swing0003',b'stance0005',b'stance0005',b'swing0004',b'stance0003',4.308736389212888,3.820908629899274,5.756292449403551,10.755154947345304,3.446525797298978,7.131114518682315,5.224752109967209,5.50933560105969,flex,flex,flex,flex,flex,ext,flex,flex,0.006904429993018357
37,RIGHT,b'stance0003',b'swing0004',b'stance0002',b'swing0003',b'swing0005',b'stance0005',b'swing0004',b'stance0003',3.1787794882204805,3.946832439374686,5.3882999009974855,9.831505525085976,3.8861820552009214,6.507987534560521,4.791714668755676,4.733769144396029,flex,ext,flex,flex,ext,flex,flex,flex,0.009337671339283697
38,RIGHT,b'stance0003',b'swing0004',b'stance0002',b'swing0003',b'swing0005',b'stance0005',b'swing0004',b'stance0003',2.7333723561777603,1.8111126532984716,6.95932596058593,8.395287673101079,3.414151468173128,5.591920354166613,5.020382268091124,4.598415348371149,flex,flex,ext,flex,flex,flex,ext,flex,0.006639975010211816
39,RIGHT,b'swing0003',b'swing0004',b'stance0002',b'swing0003',b'swing0005',b'stance0005',b'swing0004',b'stance0003',4.07359639547634,1.8816472981706782,8.15468165514607,7.510431929415819,3.7195020647722563,7.871897581349282,4.9741141369476445,5.193736938571001,ext,ext,ext,flex,ext,ext,flex,ext,0.005996770710659264
