,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
63,UP,,2179.44,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,,155.5142587587332,,,,5.235585312582742,,22.669647382499022
64,UP,,2250.22,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,160.28696348901443,,,,,,,
65,UP,,1733.57,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,,,,,,,156.09671564420807,
66,UP,,2435.79,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,,167.7691180160997,,,,,,
67,UP,,2572.62,b'stance0004',b'stance0005',b'stance0003',b'stride0005',,,,809.0424698383686,,,,,16.6376115647024,45.69387566569105,55.431562497171946,,,,,,,,,,,,,,,,,,,,156.7385804812995,
68,UP,,1410.7849999999999,b'stance0004',b'stride0006',b'stance0003',b'stride0005',84.06042882471002,,,809.0424698383686,,,,,16.6376115647024,,55.431562497171946,,,,,,,,,,,,,,,,,,,,122.47330157787565,
69,UP,9.348429397350458,2455.74,b'stance0004',b'stride0006',b'stance0003',b'stride0005',84.06042882471002,,,809.0424698383686,,,,,16.6376115647024,,55.431562497171946,,,,,,,,,,,,,,,,,103.01030662551719,,,,
70,UP,,2395.24,b'stance0004',b'stride0006',b'stance0003',b'stride0005',84.06042882471002,,,809.0424698383686,,,,,16.6376115647024,,55.431562497171946,,,,,,,,,,,,,,,,,,,,131.4716214295748,
71,UP,,2739.72,b'stance0004',b'stride0006',b'stance0003',b'stride0005',84.06042882471002,,,809.0424698383686,,,,,16.6376115647024,,55.431562497171946,,,,,,,,,,,,,,,176.7373936640091,,,,134.07672861974112,163.84731951306242,
72,UP,,2525.82,b'stance0004',b'stride0006',b'stride0004',b'stride0005',84.06042882471002,,0.0,809.0424698383686,,,,,16.6376115647024,,,,,,,,,,,,,,,,,172.37764907318947,,,,134.96854229197706,,
73,UP,,2439.09,b'stance0004',b'stride0006',b'stance0004',b'stride0005',84.06042882471002,,,809.0424698383686,,,,,16.6376115647024,,,,,,,,,,,,,,,,,172.35727211034015,,,,136.75628453969955,140.92170631362086,
74,UP,,1850.42,b'stride0005',b'stride0006',b'stride0005',b'stride0005',84.06042882471002,0.0,7.025409607056953,809.0424698383686,,,,,,,,,,,,,,,,,,,,,166.09465161476226,174.7737875821471,,,,136.41058569161473,,
75,UP,,2429.27,b'stance0005',b'stride0006',b'stride0005',b'stride0005',84.06042882471002,,7.025409607056953,809.0424698383686,,,,,,,,,,,,,,,,,,,,,155.51986717518673,164.8436700932748,,,,138.64420412906026,,
76,UP,,2290.9399999999996,b'stride0006',b'stride0006',b'stance0005',b'stance0005',84.06042882471002,0.0,,,,,,,,,,68.8139887689476,,,,,,,,,,,,,150.77102617572572,162.3277202436206,,,,133.98523217559955,,
77,UP,14.299115046386078,1810.03,b'stance0006',b'stance0006',b'stride0006',b'stance0005',,,532.1771454426955,,,,,,,8.024027023498613,,68.8139887689476,,,,,,,,,,,,,157.01840441325672,164.29343431210992,,,,131.23755930854782,,
78,UP,,1984.96,b'stance0006',b'stance0006',b'stride0006',b'stance0005',,,532.1771454426955,,,,,,,8.024027023498613,,68.8139887689476,,,,,,,,,,,,,147.74546245915607,,,,,,,
79,UP,,2148.62,b'stride0007',b'stance0006',b'stride0006',b'stance0005',,0.0,532.1771454426955,,,,,,,8.024027023498613,,68.8139887689476,,,,,,,,,,,,,,,,,,,,
80,UP,,2148.32,b'stance0007',b'stance0006',b'stride0006',b'stance0005',,,532.1771454426955,,,,,,,8.024027023498613,,68.8139887689476,,,,,,,,,,,,,,155.66836436649336,,,,115.06818265823746,138.56863403782847,
81,UP,,2143.63,b'stride0008',b'stance0006',b'stride0006',b'stride0006',,5.711449960515735,532.1771454426955,0.0,,,,,,8.024027023498613,,,,,,,,,,,,,,,148.695889413419,158.45072092785236,,,,113.37156853546617,,
82,UP,,1789.42,b'stride0008',b'stance0006',b'stride0006',b'stance0006',,5.711449960515735,532.1771454426955,,,,,,,8.024027023498613,,70.40065930036077,,,,,,,,,,,,,143.91175452346488,156.91327580685225,,,,111.29958668277952,,29.662373351811198
83,UP,,1575.46,b'stance0008',b'stance0006',b'stride0006',b'stance0006',,,532.1771454426955,,,,,,,8.024027023498613,,70.40065930036077,,,,,,,,,,,,,147.87603562459242,161.2649280521284,,,,109.25162812277004,126.41783603012736,87.97536544056058
84,UP,,1755.99,b'stride0009',b'stance0006',b'stride0006',b'stance0006',,252.90332026310261,532.1771454426955,,,,,,,8.024027023498613,,70.40065930036077,,,,,6.194239417848363,,,,,,,,144.88209092593485,152.79934774287105,,,,105.43368393672156,,85.43623806396239
85,UP,,1721.35,b'stride0009',b'stance0006',b'stride0006',b'stance0006',,252.90332026310261,532.1771454426955,,,,,,,8.024027023498613,,70.40065930036077,,,,,6.194239417848363,,,,,,,,144.91049762674834,153.17866159648048,,,,102.88049758662281,,87.26127290438023
86,UP,,1912.37,b'stride0009',b'stance0006',b'stride0006',b'stance0006',,252.90332026310261,532.1771454426955,,,,,,,8.024027023498613,,70.40065930036077,,,,,6.194239417848363,,,,,,,,144.9691562726217,158.61973655502348,,,158.94547881414456,106.21113754824295,,87.75285921241186
