,direction_of_climbing,body_deflection_angle,speed_PXperS,stepphase_FL,stepphase_FR,stepphase_HR,stepphase_HL,step-length_FR,step-length_FL,step-length_HR,step-length_HL,dynamics_FL,dynamics_FR,dynamics_HR,dynamics_HL,mid_stance_wrist_angles_mean_FL,mid_stance_wrist_angles_mean_FR,mid_stance_wrist_angles_mean_HR,mid_stance_wrist_angles_mean_HL,limbROM_FL,limbROM_FR,limbROM_HR,limbROM_HL,spineROM_FL,spineROM_FR,spineROM_HR,spineROM_HL,CROM_FL,CROM_FR,CROM_HR,CROM_HL,shoulder_angle_FL,shoulder_angle_FR,shoulder_angle_HR,shoulder_angle_HL,knee_angle_FL,knee_angle_FR,knee_angle_HR,knee_angle_HL
107,UP,6.174017871414037,1198.6100000000001,b'stance0010',b'stride0002',b'stride0015',b'stance0009',327.0755263072332,,,,,,,,,,,130.6123210739112,,,,,,7.826418367891868,,,,,,,155.18095623225668,138.58547003134194,155.78705690223438,,119.33204955957169,125.74085790396566,47.1715239795754,
108,UP,5.654933255316649,1615.335,b'stance0010',b'stride0002',b'stride0015',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,150.14387879902955,139.0842393189948,150.4560499804058,,121.07854885224741,117.00820316779367,55.04409345864582,
109,UP,6.52486485781688,1760.855,b'stance0010',b'stride0002',b'stride0015',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,144.37070426983146,148.3923772558723,144.58803869962725,48.756424210848195,144.3189788964757,110.98149798624526,54.79282462175607,179.33987570821003
110,UP,7.549342372316147,1661.05,b'stance0010',b'stride0002',b'stride0015',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,151.95349368269402,162.23684729237345,141.048299217163,,160.15445702622617,103.70432502349968,62.10860038939448,
111,UP,8.690987941140492,878.055,b'stance0010',b'stride0002',b'stance0015',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,151.67838134250673,165.75467627572272,135.9625880407574,,170.43126504634654,100.23276420330254,62.41812125228019,
112,UP,9.673588224573763,1386.3899999999999,b'stance0010',b'stride0002',b'stance0015',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,141.04081396403558,163.00144504485374,141.13255139861548,167.90142740657643,164.3638385697168,109.00707162325703,62.802716683670084,
113,UP,11.09958851954974,990.11,b'stance0010',b'stride0002',b'stride0016',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,143.31207882597718,178.84517244725035,137.29097879158988,177.95503952452552,178.54655363809923,117.96874992841035,57.48688489995175,
114,UP,11.907241090476646,1157.745,b'stance0010',b'stride0002',b'stance0016',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,136.59342195103628,175.42158128883656,138.84737222459177,173.6325731607719,179.3929128449877,127.15626532613703,55.75147261566721,
115,UP,12.629577477735012,880.47,b'stance0010',b'stride0002',b'stance0016',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,138.5758571102552,174.00634757201428,136.32121564824666,163.14642830922855,,132.98795184559816,57.0809828193285,
116,UP,12.726283911039758,856.355,b'stance0010',b'stride0002',b'stance0016',b'stride0010',327.0755263072332,,,,,,,,,,,,,,,,,7.826418367891868,,,,,,,139.30103966288874,174.94015239337537,138.35591118060046,161.00979055268076,,140.73071181946798,58.268917713619786,60.55623432007529
